R,I,g-r,i-z,redshift,TransientClass,objID,og_idx
1.3872872715461244,1.2860576579980334,2.6538614685308537,1.2979681458574264,-0.09310122558380148,SN Ib/c,152861947458064772,0
-1.5633651246570361,-1.730629583613764,5.266633046401285,2.2354610118816134,-0.0941120073434489,SN Ib/c,190472311917417534,1
-1.7047068043517473,-1.7631714151536215,2.1152176158671807,2.181295186886173,-0.09418740792055691,SN Ib/c,121291658039742624,2
-1.7047068043517473,-1.7631714151536215,2.1152176158671807,2.181295186886173,-0.09418740792055691,SN Ib/c,121291658039742624,3
-1.7047068043517473,-1.7631714151536215,2.1152176158671807,2.181295186886173,-0.09418740792055691,SN Ia,121291658039742624,4
-1.7047068043517473,-1.7631714151536215,2.1152176158671807,2.181295186886173,-0.09418740792055691,SN Ia,121291658039742624,5
-1.8117546192019893,-1.9130974954996895,1.9910635437960236,2.233995393678637,-0.09384344752656895,SN Ib/c,155502141324957516,10
-1.8117546192019893,-1.9130974954996895,1.9910635437960236,2.233995393678637,-0.09384344752656895,SN Ib/c,155502141324957516,11
-1.8117546192019893,-1.9130974954996895,1.9910635437960236,2.233995393678637,-0.09384344752656895,SN II,155502141324957516,12
-1.8117546192019893,-1.9130974954996895,1.9910635437960236,2.233995393678637,-0.09384344752656895,SN II,155502141324957516,13
-0.8446530494097881,-0.89117024442914,1.5002464094585228,1.1332587623697703,-0.09391677797167612,SN Ib/c,196942776208227273,14
-0.8446530494097881,-0.89117024442914,1.5002464094585228,1.1332587623697703,-0.09391677797167612,SN Ib/c,196942776208227273,15
-0.8446530494097881,-0.89117024442914,1.5002464094585228,1.1332587623697703,-0.09391677797167612,SN Ia,196942776208227273,16
-0.8446530494097881,-0.89117024442914,1.5002464094585228,1.1332587623697703,-0.09391677797167612,SN Ia,196942776208227273,17
-1.003604481140078,-1.0676028768442822,1.2604270658777277,3.7533758078693538,-0.09386558201488578,SN Ib/c,190022439810320621,18
-1.003604481140078,-1.0676028768442822,1.2604270658777277,3.7533758078693538,-0.09386558201488578,SN Ib/c,190022439810320621,19
-1.003604481140078,-1.0676028768442822,1.2604270658777277,3.7533758078693538,-0.09386558201488578,SN Ia,190022439810320621,20
-1.003604481140078,-1.0676028768442822,1.2604270658777277,3.7533758078693538,-0.09386558201488578,SN Ia,190022439810320621,21
-0.6498344218408785,-0.694188502092597,0.6691100115667113,1.1545132799293523,-0.09070648096112197,SN Ib/c,172272150455194755,22
-0.6498344218408785,-0.694188502092597,0.6691100115667113,1.1545132799293523,-0.09070648096112197,SN Ib/c,172272150455194755,23
-0.6498344218408785,-0.694188502092597,0.6691100115667113,1.1545132799293523,-0.09070648096112197,SN II,172272150455194755,24
-0.6498344218408785,-0.694188502092597,0.6691100115667113,1.1545132799293523,-0.09070648096112197,SN II,172272150455194755,25
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,26
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,27
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN IIn,161771371776573444,28
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN IIn,161771371776573444,29
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,30
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,31
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,32
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,33
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,34
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,35
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,36
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ib/c,161771371776573444,37
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ia,161771371776573444,38
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ia,161771371776573444,39
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ia,161771371776573444,40
-0.9746565968901378,-1.168313002128614,2.34353917505168,5.33022858608369,-0.0937571389462257,SN Ia,161771371776573444,41
-1.4499953842205715,-1.5706694066602076,3.4640980759481597,1.9811987199395376,-0.09318084604537274,SN Ia,160222644019524696,42
-1.4499953842205715,-1.5706694066602076,3.4640980759481597,1.9811987199395376,-0.09318084604537274,SN Ia,160222644019524696,43
-1.4499953842205715,-1.5706694066602076,3.4640980759481597,1.9811987199395376,-0.09318084604537274,SN Ia,160222644019524696,44
